
2023/08/07 (23:14:51) | ===> btop++ v.1.2.3
2023/08/07 (23:14:51) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2023/08/07 (23:15:04) | ===> btop++ v.1.2.3
2023/08/07 (23:15:04) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2023/08/07 (23:15:21) | ===> btop++ v.1.2.3
2023/08/07 (23:15:21) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2023/08/07 (23:16:05) | ===> btop++ v.1.2.3
2023/08/07 (23:16:05) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2023/08/07 (23:16:39) | ===> btop++ v.1.2.3
2023/08/07 (23:16:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/16 (12:13:56) | ===> btop++ v.1.3.2
2024/05/16 (12:13:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/16 (21:58:13) | ===> btop++ v.1.3.2
2024/05/16 (21:58:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/16 (22:00:51) | ===> btop++ v.1.3.2
2024/05/16 (22:00:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/05/16 (22:01:38) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/05/16 (22:01:51) | ===> btop++ v.1.3.2
2024/05/16 (22:01:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/17 (12:31:10) | ===> btop++ v.1.3.2
2024/05/17 (12:31:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/18 (16:04:02) | ===> btop++ v.1.3.2
2024/05/18 (16:04:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/18 (16:04:45) | ===> btop++ v.1.3.2
2024/05/18 (16:04:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/18 (16:07:03) | ===> btop++ v.1.3.2
2024/05/18 (16:07:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/18 (19:05:05) | ===> btop++ v.1.3.2
2024/05/18 (19:05:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/18 (19:06:59) | ===> btop++ v.1.3.2
2024/05/18 (19:06:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/20 (12:33:15) | ===> btop++ v.1.3.2
2024/05/20 (12:33:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/20 (13:56:15) | ===> btop++ v.1.3.2
2024/05/20 (13:56:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/21 (18:06:24) | ===> btop++ v.1.3.2
2024/05/21 (18:06:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/21 (19:54:21) | ===> btop++ v.1.3.2
2024/05/21 (19:54:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/21 (20:15:41) | ===> btop++ v.1.3.2
2024/05/21 (20:15:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/21 (21:58:25) | ===> btop++ v.1.3.2
2024/05/21 (21:58:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/22 (11:48:01) | ===> btop++ v.1.3.2
2024/05/22 (11:48:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/22 (12:45:30) | ===> btop++ v.1.3.2
2024/05/22 (12:45:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/22 (14:56:06) | ===> btop++ v.1.3.2
2024/05/22 (14:56:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/22 (14:59:11) | ===> btop++ v.1.3.2
2024/05/22 (14:59:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/22 (15:00:33) | ===> btop++ v.1.3.2
2024/05/22 (15:00:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/05/22 (15:08:02) | ERROR: Stall in Runner thread, restarting!

2024/05/22 (22:38:03) | ===> btop++ v.1.3.2
2024/05/22 (22:38:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/22 (22:39:16) | ===> btop++ v.1.3.2
2024/05/22 (22:39:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/23 (11:48:04) | ===> btop++ v.1.3.2
2024/05/23 (11:48:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/23 (11:48:59) | ===> btop++ v.1.3.2
2024/05/23 (11:48:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/23 (11:51:36) | ===> btop++ v.1.3.2
2024/05/23 (11:51:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/23 (11:55:30) | ===> btop++ v.1.3.2
2024/05/23 (11:55:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/23 (12:09:46) | ===> btop++ v.1.3.2
2024/05/23 (12:09:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/23 (12:11:37) | ===> btop++ v.1.3.2
2024/05/23 (12:11:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/23 (12:14:45) | ===> btop++ v.1.3.2
2024/05/23 (12:14:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/23 (12:16:07) | ===> btop++ v.1.3.2
2024/05/23 (12:16:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/23 (13:00:24) | ===> btop++ v.1.3.2
2024/05/23 (13:00:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/23 (13:08:36) | ===> btop++ v.1.3.2
2024/05/23 (13:08:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/23 (17:17:45) | ===> btop++ v.1.3.2
